timestamp,gameid,value,label
"Date:  Fri, 31 Jul 2020 23:10:31 GMT1 week ago",3515477,1.12,0
"Date:  Fri, 31 Jul 2020 23:10:41 GMT1 week ago",3515478,85.64,1
"Date:  Fri, 31 Jul 2020 23:11:53 GMT1 week ago",3515479,3.85,1
"Date:  Fri, 31 Jul 2020 23:12:21 GMT1 week ago",3515480,145.27,1
"Date:  Fri, 31 Jul 2020 23:13:41 GMT1 week ago",3515481,1.46,0
"Date:  Fri, 31 Jul 2020 23:13:55 GMT1 week ago",3515482,2.25,1
"Date:  Fri, 31 Jul 2020 23:14:15 GMT1 week ago",3515483,1.08,0
"Date:  Fri, 31 Jul 2020 23:14:24 GMT1 week ago",3515484,288.94,1
"Date:  Fri, 31 Jul 2020 23:15:54 GMT1 week ago",3515485,54.98,1
"Date:  Fri, 31 Jul 2020 23:17:00 GMT1 week ago",3515486,1.24,0
"Date:  Fri, 31 Jul 2020 23:17:12 GMT1 week ago",3515487,1.09,0
"Date:  Fri, 31 Jul 2020 23:17:22 GMT1 week ago",3515488,2.01,1
"Date:  Fri, 31 Jul 2020 23:17:40 GMT1 week ago",3515489,9.71,1
"Date:  Fri, 31 Jul 2020 23:18:21 GMT1 week ago",3515490,2.16,1
"Date:  Fri, 31 Jul 2020 23:18:41 GMT1 week ago",3515491,1.6,0
"Date:  Fri, 31 Jul 2020 23:18:56 GMT1 week ago",3515492,1.77,0
"Date:  Fri, 31 Jul 2020 23:19:12 GMT1 week ago",3515493,1.35,0
"Date:  Fri, 31 Jul 2020 23:19:25 GMT1 week ago",3515494,3.98,1
"Date:  Fri, 31 Jul 2020 23:19:53 GMT1 week ago",3515495,1.78,0
"Date:  Fri, 31 Jul 2020 23:20:10 GMT1 week ago",3515496,4.08,1
"Date:  Fri, 31 Jul 2020 23:20:38 GMT1 week ago",3515497,7.71,1
"Date:  Fri, 31 Jul 2020 23:21:16 GMT1 week ago",3515498,1.03,0
"Date:  Fri, 31 Jul 2020 23:21:25 GMT1 week ago",3515499,1.12,0
"Date:  Fri, 31 Jul 2020 23:21:35 GMT1 week ago",3515500,8.29,1
"Date:  Fri, 31 Jul 2020 23:22:14 GMT1 week ago",3515501,1.47,0
"Date:  Fri, 31 Jul 2020 23:22:28 GMT1 week ago",3515502,11.38,1
"Date:  Fri, 31 Jul 2020 23:23:11 GMT1 week ago",3515503,1.04,0
"Date:  Fri, 31 Jul 2020 23:23:20 GMT1 week ago",3515504,9.41,1
"Date:  Fri, 31 Jul 2020 23:24:01 GMT1 week ago",3515505,1.54,0
"Date:  Fri, 31 Jul 2020 23:24:15 GMT1 week ago",3515506,1.53,0
"Date:  Fri, 31 Jul 2020 23:24:30 GMT1 week ago",3515507,3.93,1
"Date:  Fri, 31 Jul 2020 23:24:58 GMT1 week ago",3515508,1.73,0
"Date:  Fri, 31 Jul 2020 23:25:14 GMT1 week ago",3515509,1.11,0
"Date:  Fri, 31 Jul 2020 23:25:24 GMT1 week ago",3515510,1.1,0
"Date:  Fri, 31 Jul 2020 23:25:34 GMT1 week ago",3515511,1.12,0
"Date:  Fri, 31 Jul 2020 23:25:44 GMT1 week ago",3515512,10.39,1
"Date:  Fri, 31 Jul 2020 23:26:26 GMT1 week ago",3515513,1.17,0
"Date:  Fri, 31 Jul 2020 23:26:36 GMT1 week ago",3515514,8.61,1
"Date:  Fri, 31 Jul 2020 23:27:16 GMT1 week ago",3515515,31.56,1
"Date:  Fri, 31 Jul 2020 23:28:14 GMT1 week ago",3515516,2.84,1
"Date:  Fri, 31 Jul 2020 23:28:37 GMT1 week ago",3515517,9.79,1
"Date:  Fri, 31 Jul 2020 23:29:18 GMT1 week ago",3515518,6.3,1
"Date:  Fri, 31 Jul 2020 23:29:53 GMT1 week ago",3515519,1.24,0
"Date:  Fri, 31 Jul 2020 23:30:04 GMT1 week ago",3515520,26.18,1
"Date:  Fri, 31 Jul 2020 23:31:00 GMT1 week ago",3515521,2.78,1
"Date:  Fri, 31 Jul 2020 23:31:23 GMT1 week ago",3515522,1.2,0
"Date:  Fri, 31 Jul 2020 23:31:34 GMT1 week ago",3515523,14.02,1
"Date:  Fri, 31 Jul 2020 23:32:20 GMT1 week ago",3515524,1.03,0
"Date:  Fri, 31 Jul 2020 23:32:29 GMT1 week ago",3515525,5.53,1
"Date:  Fri, 31 Jul 2020 23:33:02 GMT1 week ago",3515526,1.67,0
"Date:  Fri, 31 Jul 2020 23:33:18 GMT1 week ago",3515527,4.94,1
"Date:  Fri, 31 Jul 2020 23:33:49 GMT1 week ago",3515528,1.2,0
"Date:  Fri, 31 Jul 2020 23:34:00 GMT1 week ago",3515529,1.75,0
"Date:  Fri, 31 Jul 2020 23:34:16 GMT1 week ago",3515530,1.59,0
"Date:  Fri, 31 Jul 2020 23:34:31 GMT1 week ago",3515531,1.26,0
"Date:  Fri, 31 Jul 2020 23:34:43 GMT1 week ago",3515532,1.5,0
"Date:  Fri, 31 Jul 2020 23:34:57 GMT1 week ago",3515533,1,0
"Date:  Fri, 31 Jul 2020 23:35:06 GMT1 week ago",3515534,1.12,0
"Date:  Fri, 31 Jul 2020 23:35:16 GMT1 week ago",3515535,1.14,0
"Date:  Fri, 31 Jul 2020 23:35:26 GMT1 week ago",3515536,1.93,0
"Date:  Fri, 31 Jul 2020 23:35:44 GMT1 week ago",3515537,1.61,0
"Date:  Fri, 31 Jul 2020 23:35:59 GMT1 week ago",3515538,3.05,1
"Date:  Fri, 31 Jul 2020 23:36:23 GMT1 week ago",3515539,1.48,0
"Date:  Fri, 31 Jul 2020 23:36:37 GMT1 week ago",3515540,1.74,0
"Date:  Fri, 31 Jul 2020 23:36:53 GMT1 week ago",3515541,1.9,0
"Date:  Fri, 31 Jul 2020 23:37:11 GMT1 week ago",3515542,1.25,0
"Date:  Fri, 31 Jul 2020 23:37:23 GMT1 week ago",3515543,1.65,0
"Date:  Fri, 31 Jul 2020 23:37:38 GMT1 week ago",3515544,2.88,1
"Date:  Fri, 31 Jul 2020 23:38:02 GMT1 week ago",3515545,1.82,0
"Date:  Fri, 31 Jul 2020 23:38:19 GMT1 week ago",3515546,3.71,1
"Date:  Fri, 31 Jul 2020 23:38:46 GMT1 week ago",3515547,4.25,1
"Date:  Fri, 31 Jul 2020 23:39:15 GMT1 week ago",3515548,1.66,0
"Date:  Fri, 31 Jul 2020 23:39:31 GMT1 week ago",3515549,2.04,1
"Date:  Fri, 31 Jul 2020 23:39:49 GMT1 week ago",3515550,1.32,0
"Date:  Fri, 31 Jul 2020 23:40:02 GMT1 week ago",3515551,1.6,0
"Date:  Fri, 31 Jul 2020 23:40:17 GMT1 week ago",3515552,5.46,1
"Date:  Fri, 31 Jul 2020 23:40:49 GMT1 week ago",3515553,298.07,1
"Date:  Fri, 31 Jul 2020 23:42:20 GMT1 week ago",3515554,2.39,1
"Date:  Fri, 31 Jul 2020 23:42:41 GMT1 week ago",3515555,1.1,0
"Date:  Fri, 31 Jul 2020 23:42:51 GMT1 week ago",3515556,1.59,0
"Date:  Fri, 31 Jul 2020 23:43:06 GMT1 week ago",3515557,1.3,0
"Date:  Fri, 31 Jul 2020 23:43:18 GMT1 week ago",3515558,2.31,1
"Date:  Fri, 31 Jul 2020 23:43:38 GMT1 week ago",3515559,1.95,0
"Date:  Fri, 31 Jul 2020 23:43:56 GMT1 week ago",3515560,2.28,1
"Date:  Fri, 31 Jul 2020 23:44:16 GMT1 week ago",3515561,1.29,0
"Date:  Fri, 31 Jul 2020 23:44:28 GMT1 week ago",3515562,2.04,1
"Date:  Fri, 31 Jul 2020 23:44:47 GMT1 week ago",3515563,4.64,1
"Date:  Fri, 31 Jul 2020 23:45:18 GMT1 week ago",3515564,1.01,0
"Date:  Fri, 31 Jul 2020 23:45:26 GMT1 week ago",3515565,2.11,1
"Date:  Fri, 31 Jul 2020 23:45:45 GMT1 week ago",3515566,1.47,0
"Date:  Fri, 31 Jul 2020 23:45:59 GMT1 week ago",3515567,2.07,1
"Date:  Fri, 31 Jul 2020 23:46:18 GMT1 week ago",3515568,1.96,0
"Date:  Fri, 31 Jul 2020 23:46:36 GMT1 week ago",3515569,1.43,0
"Date:  Fri, 31 Jul 2020 23:46:49 GMT1 week ago",3515570,1.01,0
"Date:  Fri, 31 Jul 2020 23:46:58 GMT1 week ago",3515571,1.18,0
"Date:  Fri, 31 Jul 2020 23:47:09 GMT1 week ago",3515572,1.18,0
"Date:  Fri, 31 Jul 2020 23:47:19 GMT1 week ago",3515573,2.62,1
"Date:  Fri, 31 Jul 2020 23:47:42 GMT1 week ago",3515574,2.18,1
"Date:  Fri, 31 Jul 2020 23:48:01 GMT1 week ago",3515575,1.06,0
"Date:  Fri, 31 Jul 2020 23:48:11 GMT1 week ago",3515576,1.37,0
"Date:  Fri, 31 Jul 2020 23:48:24 GMT1 week ago",3515577,6.82,1
"Date:  Fri, 31 Jul 2020 23:49:00 GMT1 week ago",3515578,4.06,1
"Date:  Fri, 31 Jul 2020 23:49:28 GMT1 week ago",3515579,1.1,0
"Date:  Fri, 31 Jul 2020 23:49:38 GMT1 week ago",3515580,12,1
"Date:  Fri, 31 Jul 2020 23:50:22 GMT1 week ago",3515581,1,0
"Date:  Fri, 31 Jul 2020 23:50:30 GMT1 week ago",3515582,2.46,1
"Date:  Fri, 31 Jul 2020 23:50:52 GMT1 week ago",3515583,1.36,0
"Date:  Fri, 31 Jul 2020 23:51:04 GMT1 week ago",3515584,6.53,1
"Date:  Fri, 31 Jul 2020 23:51:40 GMT1 week ago",3515585,1.22,0
"Date:  Fri, 31 Jul 2020 23:51:51 GMT1 week ago",3515586,2.99,1
"Date:  Fri, 31 Jul 2020 23:52:15 GMT1 week ago",3515587,1.11,0
"Date:  Fri, 31 Jul 2020 23:52:25 GMT1 week ago",3515588,2.51,1
"Date:  Fri, 31 Jul 2020 23:52:47 GMT1 week ago",3515589,1.93,0
"Date:  Fri, 31 Jul 2020 23:53:04 GMT1 week ago",3515590,2.64,1
"Date:  Fri, 31 Jul 2020 23:53:27 GMT1 week ago",3515591,1.05,0
"Date:  Fri, 31 Jul 2020 23:53:36 GMT1 week ago",3515592,1.29,0
"Date:  Fri, 31 Jul 2020 23:53:48 GMT1 week ago",3515593,1.27,0
"Date:  Fri, 31 Jul 2020 23:54:00 GMT1 week ago",3515594,1.82,0
"Date:  Fri, 31 Jul 2020 23:54:17 GMT1 week ago",3515595,3.05,1
"Date:  Fri, 31 Jul 2020 23:54:41 GMT1 week ago",3515596,5.31,1
"Date:  Fri, 31 Jul 2020 23:55:13 GMT1 week ago",3515597,2.59,1
"Date:  Fri, 31 Jul 2020 23:55:35 GMT1 week ago",3515598,3.75,1
"Date:  Fri, 31 Jul 2020 23:56:03 GMT1 week ago",3515599,1.12,0
"Date:  Fri, 31 Jul 2020 23:56:13 GMT1 week ago",3515600,2.89,1
"Date:  Fri, 31 Jul 2020 23:56:36 GMT1 week ago",3515601,4.96,1
"Date:  Fri, 31 Jul 2020 23:57:08 GMT1 week ago",3515602,15.25,1
"Date:  Fri, 31 Jul 2020 23:57:55 GMT1 week ago",3515603,2.44,1
"Date:  Fri, 31 Jul 2020 23:58:16 GMT1 week ago",3515604,1.12,0
"Date:  Fri, 31 Jul 2020 23:58:26 GMT1 week ago",3515605,1.33,0
"Date:  Fri, 31 Jul 2020 23:58:39 GMT1 week ago",3515606,4.4,1
"Date:  Fri, 31 Jul 2020 23:59:08 GMT1 week ago",3515607,3.5,1
"Date:  Fri, 31 Jul 2020 23:59:35 GMT1 week ago",3515608,1.68,0
"Date:  Fri, 31 Jul 2020 23:59:51 GMT1 week ago",3515609,1.02,0
"Date:  Fri, 31 Jul 2020 23:59:59 GMT1 week ago",3515610,2.03,1
