serial,timestamp,gameid,value,,,
52,"Date:  Wed, 01 Jan 2020 00:20:20 GMT6 months ago",Game #2699806, 1.11x,,,
53,"Date:  Wed, 01 Jan 2020 00:20:29 GMT6 months ago",Game #2699807, 1.37x,,,
54,"Date:  Wed, 01 Jan 2020 00:20:42 GMT6 months ago",Game #2699808, 1.06x,,,
55,"Date:  Wed, 01 Jan 2020 00:20:51 GMT6 months ago",Game #2699809, 1.66x,,,
56,"Date:  Wed, 01 Jan 2020 00:21:07 GMT6 months ago",Game #2699810, 2.29x,,,
57,"Date:  Wed, 01 Jan 2020 00:21:27 GMT6 months ago",Game #2699811, 2.27x,,,
58,"Date:  Wed, 01 Jan 2020 00:21:47 GMT6 months ago",Game #2699812, 171.87x,,,
59,"Date:  Wed, 01 Jan 2020 00:23:10 GMT6 months ago",Game #2699813, 2.35x,,,
60,"Date:  Wed, 01 Jan 2020 00:23:30 GMT6 months ago",Game #2699814, 1.27x,,,
61,"Date:  Wed, 01 Jan 2020 00:23:42 GMT6 months ago",Game #2699815, 2.75x,,,
62,"Date:  Wed, 01 Jan 2020 00:24:05 GMT6 months ago",Game #2699816, 5.64x,,,
63,"Date:  Wed, 01 Jan 2020 00:24:38 GMT6 months ago",Game #2699817, 1x,,,
64,"Date:  Wed, 01 Jan 2020 00:24:47 GMT6 months ago",Game #2699818, 1.99x,,,
65,"Date:  Wed, 01 Jan 2020 00:25:05 GMT6 months ago",Game #2699819, 1.05x,,,
66,"Date:  Wed, 01 Jan 2020 00:25:14 GMT6 months ago",Game #2699820, 1.76x,,,
67,"Date:  Wed, 01 Jan 2020 00:25:30 GMT6 months ago",Game #2699821, 8.14x,,,
68,"Date:  Wed, 01 Jan 2020 00:26:09 GMT6 months ago",Game #2699822, 2.17x,,,
69,"Date:  Wed, 01 Jan 2020 00:26:28 GMT6 months ago",Game #2699823, 1.73x,,,
70,"Date:  Wed, 01 Jan 2020 00:26:44 GMT6 months ago",Game #2699824, 3.21x,,,
71,"Date:  Wed, 01 Jan 2020 00:27:09 GMT6 months ago",Game #2699825, 3.92x,,,
72,"Date:  Wed, 01 Jan 2020 00:27:37 GMT6 months ago",Game #2699826, 1.56x,,,
73,"Date:  Wed, 01 Jan 2020 00:27:52 GMT6 months ago",Game #2699827, 1.21x,,,
74,"Date:  Wed, 01 Jan 2020 00:28:03 GMT6 months ago",Game #2699828, 9.14x,,,
75,"Date:  Wed, 01 Jan 2020 00:28:43 GMT6 months ago",Game #2699829, 3.24x,,,
76,"Date:  Wed, 01 Jan 2020 00:29:08 GMT6 months ago",Game #2699830, 1x,,,
77,"Date:  Wed, 01 Jan 2020 00:29:17 GMT6 months ago",Game #2699831, 2.18x,,,
78,"Date:  Wed, 01 Jan 2020 00:29:36 GMT6 months ago",Game #2699832, 1.32x,,,
79,"Date:  Wed, 01 Jan 2020 00:29:48 GMT6 months ago",Game #2699833, 7.89x,,,
80,"Date:  Wed, 01 Jan 2020 00:30:26 GMT6 months ago",Game #2699834, 17.46x,,,
81,"Date:  Wed, 01 Jan 2020 00:31:16 GMT6 months ago",Game #2699835, 3.19x,,,
82,"Date:  Wed, 01 Jan 2020 00:31:41 GMT6 months ago",Game #2699836, 1.46x,,,
83,"Date:  Wed, 01 Jan 2020 00:31:54 GMT6 months ago",Game #2699837, 1.28x,,,
84,"Date:  Wed, 01 Jan 2020 00:32:06 GMT6 months ago",Game #2699838, 1.87x,,,
85,"Date:  Wed, 01 Jan 2020 00:32:24 GMT6 months ago",Game #2699839, 1.08x,,,
86,"Date:  Wed, 01 Jan 2020 00:32:33 GMT6 months ago",Game #2699840, 10.85x,,,
87,"Date:  Wed, 01 Jan 2020 00:33:16 GMT6 months ago",Game #2699841, 2.82x,,,
88,"Date:  Wed, 01 Jan 2020 00:33:39 GMT6 months ago",Game #2699842, 1.06x,,,
89,"Date:  Wed, 01 Jan 2020 00:33:48 GMT6 months ago",Game #2699843, 2.71x,,,
90,"Date:  Wed, 01 Jan 2020 00:34:11 GMT6 months ago",Game #2699844, 2.47x,,,
91,"Date:  Wed, 01 Jan 2020 00:34:32 GMT6 months ago",Game #2699845, 1.81x,,,
92,"Date:  Wed, 01 Jan 2020 00:34:49 GMT6 months ago",Game #2699846, 3.05x,,,
93,"Date:  Wed, 01 Jan 2020 00:35:13 GMT6 months ago",Game #2699847, 1.97x,,,
94,"Date:  Wed, 01 Jan 2020 00:35:31 GMT6 months ago",Game #2699848, 3.3x,,,
95,"Date:  Wed, 01 Jan 2020 00:35:57 GMT6 months ago",Game #2699849, 1.06x,,,
96,"Date:  Wed, 01 Jan 2020 00:36:06 GMT6 months ago",Game #2699850, 2.35x,,,
97,"Date:  Wed, 01 Jan 2020 00:36:27 GMT6 months ago",Game #2699851, 15.87x,,,
98,"Date:  Wed, 01 Jan 2020 00:37:15 GMT6 months ago",Game #2699852, 1.48x,,,
99,"Date:  Wed, 01 Jan 2020 00:37:29 GMT6 months ago",Game #2699853, 2.51x,,,
100,"Date:  Wed, 01 Jan 2020 00:37:50 GMT6 months ago",Game #2699854, 1.64x,,,
101,"Date:  Wed, 01 Jan 2020 00:38:06 GMT6 months ago",Game #2699855, 1.66x,,,
102,"Date:  Wed, 01 Jan 2020 00:38:22 GMT6 months ago",Game #2699856, 13.01x,,,
103,"Date:  Wed, 01 Jan 2020 00:39:07 GMT6 months ago",Game #2699857, 1.11x,,,
104,"Date:  Wed, 01 Jan 2020 00:39:17 GMT6 months ago",Game #2699858, 1.43x,,,
105,"Date:  Wed, 01 Jan 2020 00:39:30 GMT6 months ago",Game #2699859, 1.31x,,,
106,"Date:  Wed, 01 Jan 2020 00:39:42 GMT6 months ago",Game #2699860, 1.91x,,,
107,"Date:  Wed, 01 Jan 2020 00:40:00 GMT6 months ago",Game #2699861, 1.15x,,,
108,"Date:  Wed, 01 Jan 2020 00:40:10 GMT6 months ago",Game #2699862, 2.25x,,,
109,"Date:  Wed, 01 Jan 2020 00:40:30 GMT6 months ago",Game #2699863, 1.67x,,,
110,"Date:  Wed, 01 Jan 2020 00:40:46 GMT6 months ago",Game #2699864, 1.12x,,,
111,"Date:  Wed, 01 Jan 2020 00:40:56 GMT6 months ago",Game #2699865, 1.42x,,,
112,"Date:  Wed, 01 Jan 2020 00:41:09 GMT6 months ago",Game #2699866, 1.35x,,,
113,"Date:  Wed, 01 Jan 2020 00:41:22 GMT6 months ago",Game #2699867, 3.11x,,,
114,"Date:  Wed, 01 Jan 2020 00:41:47 GMT6 months ago",Game #2699868, 4.3x,,,
115,"Date:  Wed, 01 Jan 2020 00:42:16 GMT6 months ago",Game #2699869, 6.46x,,,
116,"Date:  Wed, 01 Jan 2020 00:42:51 GMT6 months ago",Game #2699870, 1.08x,,,
117,"Date:  Wed, 01 Jan 2020 00:43:01 GMT6 months ago",Game #2699871, 2.47x,,,
118,"Date:  Wed, 01 Jan 2020 00:43:22 GMT6 months ago",Game #2699872, 1.87x,,,
119,"Date:  Wed, 01 Jan 2020 00:43:39 GMT6 months ago",Game #2699873, 1.09x,,,
120,"Date:  Wed, 01 Jan 2020 00:43:49 GMT6 months ago",Game #2699874, 1.08x0,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
61,"Date:  Wed, 01 Jan 2020 00:24:05 GMT6 months ago",Game #2699816, 5.64x,,,
62,"Date:  Wed, 01 Jan 2020 00:24:38 GMT6 months ago",Game #2699817, 1x,,,
63,"Date:  Wed, 01 Jan 2020 00:24:47 GMT6 months ago",Game #2699818, 1.99x,,,
64,"Date:  Wed, 01 Jan 2020 00:25:05 GMT6 months ago",Game #2699819, 1.05x,,,
65,"Date:  Wed, 01 Jan 2020 00:25:14 GMT6 months ago",Game #2699820, 1.76x,,,
66,"Date:  Wed, 01 Jan 2020 00:25:30 GMT6 months ago",Game #2699821, 8.14x,,,
67,"Date:  Wed, 01 Jan 2020 00:26:09 GMT6 months ago",Game #2699822, 2.17x,,,
68,"Date:  Wed, 01 Jan 2020 00:26:28 GMT6 months ago",Game #2699823, 1.73x,,,
69,"Date:  Wed, 01 Jan 2020 00:26:44 GMT6 months ago",Game #2699824, 3.21x,,,
70,"Date:  Wed, 01 Jan 2020 00:27:09 GMT6 months ago",Game #2699825, 3.92x,,,
71,"Date:  Wed, 01 Jan 2020 00:27:37 GMT6 months ago",Game #2699826, 1.56x,,,
72,"Date:  Wed, 01 Jan 2020 00:27:52 GMT6 months ago",Game #2699827, 1.21x,,,
73,"Date:  Wed, 01 Jan 2020 00:28:03 GMT6 months ago",Game #2699828, 9.14x,,,
74,"Date:  Wed, 01 Jan 2020 00:28:43 GMT6 months ago",Game #2699829, 3.24x,,,
75,"Date:  Wed, 01 Jan 2020 00:29:08 GMT6 months ago",Game #2699830, 1x,,,
76,"Date:  Wed, 01 Jan 2020 00:29:17 GMT6 months ago",Game #2699831, 2.18x,,,
77,"Date:  Wed, 01 Jan 2020 00:29:36 GMT6 months ago",Game #2699832, 1.32x,,,
78,"Date:  Wed, 01 Jan 2020 00:29:48 GMT6 months ago",Game #2699833, 7.89x,,,
79,"Date:  Wed, 01 Jan 2020 00:30:26 GMT6 months ago",Game #2699834, 17.46x,,,
80,"Date:  Wed, 01 Jan 2020 00:31:16 GMT6 months ago",Game #2699835, 3.19x,,,
81,"Date:  Wed, 01 Jan 2020 00:31:41 GMT6 months ago",Game #2699836, 1.46x,,,
82,"Date:  Wed, 01 Jan 2020 00:31:54 GMT6 months ago",Game #2699837, 1.28x,,,
83,"Date:  Wed, 01 Jan 2020 00:32:06 GMT6 months ago",Game #2699838, 1.87x,,,
84,"Date:  Wed, 01 Jan 2020 00:32:24 GMT6 months ago",Game #2699839, 1.08x,,,
85,"Date:  Wed, 01 Jan 2020 00:32:33 GMT6 months ago",Game #2699840, 10.85x,,,
86,"Date:  Wed, 01 Jan 2020 00:33:16 GMT6 months ago",Game #2699841, 2.82x,,,
87,"Date:  Wed, 01 Jan 2020 00:33:39 GMT6 months ago",Game #2699842, 1.06x,,,
88,"Date:  Wed, 01 Jan 2020 00:33:48 GMT6 months ago",Game #2699843, 2.71x,,,
89,"Date:  Wed, 01 Jan 2020 00:34:11 GMT6 months ago",Game #2699844, 2.47x,,,
90,"Date:  Wed, 01 Jan 2020 00:34:32 GMT6 months ago",Game #2699845, 1.81x,,,
91,"Date:  Wed, 01 Jan 2020 00:34:49 GMT6 months ago",Game #2699846, 3.05x,,,
92,"Date:  Wed, 01 Jan 2020 00:35:13 GMT6 months ago",Game #2699847, 1.97x,,,
93,"Date:  Wed, 01 Jan 2020 00:35:31 GMT6 months ago",Game #2699848, 3.3x,,,
94,"Date:  Wed, 01 Jan 2020 00:35:57 GMT6 months ago",Game #2699849, 1.06x,,,
95,"Date:  Wed, 01 Jan 2020 00:36:06 GMT6 months ago",Game #2699850, 2.35x,,,
96,"Date:  Wed, 01 Jan 2020 00:36:27 GMT6 months ago",Game #2699851, 15.87x,,,
97,"Date:  Wed, 01 Jan 2020 00:37:15 GMT6 months ago",Game #2699852, 1.48x,,,
98,"Date:  Wed, 01 Jan 2020 00:37:29 GMT6 months ago",Game #2699853, 2.51x,,,
99,"Date:  Wed, 01 Jan 2020 00:37:50 GMT6 months ago",Game #2699854, 1.64x,,,
100,"Date:  Wed, 01 Jan 2020 00:38:06 GMT6 months ago",Game #2699855, 1.66x,,,
101,"Date:  Wed, 01 Jan 2020 00:38:22 GMT6 months ago",Game #2699856, 13.01x,,,
102,"Date:  Wed, 01 Jan 2020 00:39:07 GMT6 months ago",Game #2699857, 1.11x,,,
103,"Date:  Wed, 01 Jan 2020 00:39:17 GMT6 months ago",Game #2699858, 1.43x,,,
104,"Date:  Wed, 01 Jan 2020 00:39:30 GMT6 months ago",Game #2699859, 1.31x,,,
105,"Date:  Wed, 01 Jan 2020 00:39:42 GMT6 months ago",Game #2699860, 1.91x,,,
106,"Date:  Wed, 01 Jan 2020 00:40:00 GMT6 months ago",Game #2699861, 1.15x,,,
107,"Date:  Wed, 01 Jan 2020 00:40:10 GMT6 months ago",Game #2699862, 2.25x,,,
108,"Date:  Wed, 01 Jan 2020 00:40:30 GMT6 months ago",Game #2699863, 1.67x,,,
109,"Date:  Wed, 01 Jan 2020 00:40:46 GMT6 months ago",Game #2699864, 1.12x,,,
110,"Date:  Wed, 01 Jan 2020 00:40:56 GMT6 months ago",Game #2699865, 1.42x,,,
111,"Date:  Wed, 01 Jan 2020 00:41:09 GMT6 months ago",Game #2699866, 1.35x,,,
112,"Date:  Wed, 01 Jan 2020 00:41:22 GMT6 months ago",Game #2699867, 3.11x,,,
113,"Date:  Wed, 01 Jan 2020 00:41:47 GMT6 months ago",Game #2699868, 4.3x,,,
114,"Date:  Wed, 01 Jan 2020 00:42:16 GMT6 months ago",Game #2699869, 6.46x,,,
115,"Date:  Wed, 01 Jan 2020 00:42:51 GMT6 months ago",Game #2699870, 1.08x,,,
116,"Date:  Wed, 01 Jan 2020 00:43:01 GMT6 months ago",Game #2699871, 2.47x,,,
117,"Date:  Wed, 01 Jan 2020 00:43:22 GMT6 months ago",Game #2699872, 1.87x,,,
118,"Date:  Wed, 01 Jan 2020 00:43:39 GMT6 months ago",Game #2699873, 1.09x,,,
119,"Date:  Wed, 01 Jan 2020 00:43:49 GMT6 months ago",Game #2699874, 1.08x,,,
120,"Date:  Wed, 01 Jan 2020 00:43:58 GMT6 months ago",Game #2699875, 1.16x0,NAN,NAN,NAN
1,"Date:  Wed, 01 Jan 2020 00:44:09 GMT6 months ago",Game #2699876, 1.74x,,,
2,"Date:  Wed, 01 Jan 2020 00:44:25 GMT6 months ago",Game #2699877, 1.12x,,,
3,"Date:  Wed, 01 Jan 2020 00:44:35 GMT6 months ago",Game #2699878, 7.73x,,,
4,"Date:  Wed, 01 Jan 2020 00:45:13 GMT6 months ago",Game #2699879, 3.57x,,,
5,"Date:  Wed, 01 Jan 2020 00:45:39 GMT6 months ago",Game #2699880, 2.5x,,,
6,"Date:  Wed, 01 Jan 2020 00:46:01 GMT6 months ago",Game #2699881, 1.23x,,,
7,"Date:  Wed, 01 Jan 2020 00:46:12 GMT6 months ago",Game #2699882, 1x,,,
8,"Date:  Wed, 01 Jan 2020 00:46:20 GMT6 months ago",Game #2699883, 1.81x,,,
9,"Date:  Wed, 01 Jan 2020 00:46:37 GMT6 months ago",Game #2699884, 1.82x,,,
10,"Date:  Wed, 01 Jan 2020 00:46:54 GMT6 months ago",Game #2699885, 2.13x,,,
11,"Date:  Wed, 01 Jan 2020 00:47:13 GMT6 months ago",Game #2699886, 4.42x,,,
12,"Date:  Wed, 01 Jan 2020 00:47:43 GMT6 months ago",Game #2699887, 16.07x,,,
13,"Date:  Wed, 01 Jan 2020 00:48:31 GMT6 months ago",Game #2699888, 1x,,,
14,"Date:  Wed, 01 Jan 2020 00:48:39 GMT6 months ago",Game #2699889, 1.73x,,,
15,"Date:  Wed, 01 Jan 2020 00:48:55 GMT6 months ago",Game #2699890, 7.29x,,,
16,"Date:  Wed, 01 Jan 2020 00:49:32 GMT6 months ago",Game #2699891, 1.14x,,,
17,"Date:  Wed, 01 Jan 2020 00:49:43 GMT6 months ago",Game #2699892, 3.98x,,,
18,"Date:  Wed, 01 Jan 2020 00:50:11 GMT6 months ago",Game #2699893, 44.71x,,,
19,NAN,NAN,NAN,,,
20,NAN,NAN,NAN,,,
21,"Date:  Wed, 01 Jan 2020 00:52:25 GMT6 months ago",Game #2699896, 16.9x,,,
22,"Date:  Wed, 01 Jan 2020 00:53:14 GMT6 months ago",Game #2699897, 4.87x,,,
23,"Date:  Wed, 01 Jan 2020 00:53:45 GMT6 months ago",Game #2699898, 8.35x,,,
24,"Date:  Wed, 01 Jan 2020 00:54:24 GMT6 months ago",Game #2699899, 1.14x,,,
25,"Date:  Wed, 01 Jan 2020 00:54:34 GMT6 months ago",Game #2699900, 1.5x,,,
26,"Date:  Wed, 01 Jan 2020 00:54:48 GMT6 months ago",Game #2699901, 2.1x,,,
27,"Date:  Wed, 01 Jan 2020 00:55:07 GMT6 months ago",Game #2699902, 4.13x,,,
28,"Date:  Wed, 01 Jan 2020 00:55:36 GMT6 months ago",Game #2699903, 4.59x,,,
29,"Date:  Wed, 01 Jan 2020 00:56:06 GMT6 months ago",Game #2699904, 2.68x,,,
30,"Date:  Wed, 01 Jan 2020 00:56:29 GMT6 months ago",Game #2699905, 3.17x,,,
31,"Date:  Wed, 01 Jan 2020 00:56:54 GMT6 months ago",Game #2699906, 5.14x,,,
32,"Date:  Wed, 01 Jan 2020 00:57:25 GMT6 months ago",Game #2699907, 1.2x,,,
33,"Date:  Wed, 01 Jan 2020 00:57:36 GMT6 months ago",Game #2699908, 2.19x,,,
34,"Date:  Wed, 01 Jan 2020 00:57:56 GMT6 months ago",Game #2699909, 1.23x,,,
35,"Date:  Wed, 01 Jan 2020 00:58:07 GMT6 months ago",Game #2699910, 1.04x,,,
36,"Date:  Wed, 01 Jan 2020 00:58:16 GMT6 months ago",Game #2699911, 9.4x,,,
37,"Date:  Wed, 01 Jan 2020 00:58:57 GMT6 months ago",Game #2699912, 3.02x,,,
38,"Date:  Wed, 01 Jan 2020 00:59:21 GMT6 months ago",Game #2699913, 10.95x,,,
39,"Date:  Wed, 01 Jan 2020 01:00:04 GMT6 months ago",Game #2699914, 1.1x,,,
40,"Date:  Wed, 01 Jan 2020 01:00:13 GMT6 months ago",Game #2699915, 1.66x,,,
41,"Date:  Wed, 01 Jan 2020 01:00:29 GMT6 months ago",Game #2699916, 1.06x,,,
42,NAN,NAN,NAN,,,
43,"Date:  Wed, 01 Jan 2020 01:00:58 GMT6 months ago",Game #2699918, 71.41x,,,
44,"Date:  Wed, 01 Jan 2020 01:02:08 GMT6 months ago",Game #2699919, 3.56x,,,
45,"Date:  Wed, 01 Jan 2020 01:02:34 GMT6 months ago",Game #2699920, 1.1x,,,
46,"Date:  Wed, 01 Jan 2020 01:02:44 GMT6 months ago",Game #2699921, 1.58x,,,
47,"Date:  Wed, 01 Jan 2020 01:02:59 GMT6 months ago",Game #2699922, 1.6x,,,
48,"Date:  Wed, 01 Jan 2020 01:03:14 GMT6 months ago",Game #2699923, 58.62x,,,
49,"Date:  Wed, 01 Jan 2020 01:04:21 GMT6 months ago",Game #2699924, 1.13x,,,
50,"Date:  Wed, 01 Jan 2020 01:04:31 GMT6 months ago",Game #2699925, 6.53x,,,
51,"Date:  Wed, 01 Jan 2020 01:05:06 GMT6 months ago",Game #2699926, 2.16x,,,
52,"Date:  Wed, 01 Jan 2020 01:05:25 GMT6 months ago",Game #2699927, 1.17x,,,
53,"Date:  Wed, 01 Jan 2020 01:05:36 GMT6 months ago",Game #2699928, 12.05x,,,
54,"Date:  Wed, 01 Jan 2020 01:06:20 GMT6 months ago",Game #2699929, 1.35x,,,
55,"Date:  Wed, 01 Jan 2020 01:06:33 GMT6 months ago",Game #2699930, 1.9x,,,
56,"Date:  Wed, 01 Jan 2020 01:06:50 GMT6 months ago",Game #2699931, 2.62x,,,
57,"Date:  Wed, 01 Jan 2020 01:07:13 GMT6 months ago",Game #2699932, 1.13x,,,
58,"Date:  Wed, 01 Jan 2020 01:07:23 GMT6 months ago",Game #2699933, 1.01x,,,
59,"Date:  Wed, 01 Jan 2020 01:07:31 GMT6 months ago",Game #2699934, 9.54x,,,
60,"Date:  Wed, 01 Jan 2020 01:08:12 GMT6 months ago",Game #2699935, 1.27x,,,
61,"Date:  Wed, 01 Jan 2020 01:08:24 GMT6 months ago",Game #2699936, 2.76x,,,
62,"Date:  Wed, 01 Jan 2020 01:08:47 GMT6 months ago",Game #2699937, 1.21x,,,
63,"Date:  Wed, 01 Jan 2020 01:08:58 GMT6 months ago",Game #2699938, 16.38x,,,
64,"Date:  Wed, 01 Jan 2020 01:09:46 GMT6 months ago",Game #2699939, 1.92x,,,
65,"Date:  Wed, 01 Jan 2020 01:10:04 GMT6 months ago",Game #2699940, 2.39x,,,
66,"Date:  Wed, 01 Jan 2020 01:10:25 GMT6 months ago",Game #2699941, 2.27x,,,
67,"Date:  Wed, 01 Jan 2020 01:10:45 GMT6 months ago",Game #2699942, 2.54x,,,
68,"Date:  Wed, 01 Jan 2020 01:11:07 GMT6 months ago",Game #2699943, 2.03x,,,
69,"Date:  Wed, 01 Jan 2020 01:11:25 GMT6 months ago",Game #2699944, 2.4x,,,
70,"Date:  Wed, 01 Jan 2020 01:11:46 GMT6 months ago",Game #2699945, 1.9x,,,
71,"Date:  Wed, 01 Jan 2020 01:12:03 GMT6 months ago",Game #2699946, 1x,,,
72,"Date:  Wed, 01 Jan 2020 01:12:12 GMT6 months ago",Game #2699947, 1.31x,,,
73,"Date:  Wed, 01 Jan 2020 01:12:24 GMT6 months ago",Game #2699948, 1.51x,,,
74,"Date:  Wed, 01 Jan 2020 01:12:38 GMT6 months ago",Game #2699949, 2x,,,
75,"Date:  Wed, 01 Jan 2020 01:12:56 GMT6 months ago",Game #2699950, 1.2x,,,
76,"Date:  Wed, 01 Jan 2020 01:13:07 GMT6 months ago",Game #2699951, 1.98x,,,
77,"Date:  Wed, 01 Jan 2020 01:13:25 GMT6 months ago",Game #2699952, 1.29x,,,
78,"Date:  Wed, 01 Jan 2020 01:13:37 GMT6 months ago",Game #2699953, 2.45x,,,
79,"Date:  Wed, 01 Jan 2020 01:13:59 GMT6 months ago",Game #2699954, 1.96x,,,
80,"Date:  Wed, 01 Jan 2020 01:14:17 GMT6 months ago",Game #2699955, 1.51x,,,
81,"Date:  Wed, 01 Jan 2020 01:14:31 GMT6 months ago",Game #2699956, 1.37x,,,
